Negation type	Category	Sentence
no	Quotes and idioms	('no', 'a man in a blue uniform lean against a wall with a no smoking sign .')
no	Salient absence	('no', 'two men are sitting on a patio , one has no shoes on and is drinking a bottle with a yellow cozy over it .')
not	Negation of action/behavior	('not', 'many people are sitting by long tables filled with computers but most are not using them .')
no	Salient absence	('no', 'a man walking with no shirt on and wearing sunglasses .')
no	Salient absence	('no', 'a man with no shirt and a robot head runs in a race .')
no	Negation of action/behavior	('no', 'a man is in midair after leaping from a diving board as no one looks on from the seats behind him .')
no	Salient absence	('no', 'a man with no shirt holds a light pole as he stands on part of the stage .')
not	Not a description/Meta	"('not', ""three men are working on some kind of equipment , but i 'm not sure whether it 's a ship or an oil rig ."")"
no	Salient absence	('no', 'two girls and a guy walk by large advertisement of man with no shirt on .')
no	Salient absence	('no', 'a very brave person is skying down a steep slope with no clouds in the sky .')
no	Salient absence	('no', 'a man , in cutoff jeans and no shirt , is standing in a crowd on the beach .')
no	Salient absence	('no', 'a person is scrubbing a toilet while wearing a gas mask , and oddly no gloves .')
not	Outside the frame	('not', 'three young , male members of a band , one of whose face is not shown , one who is playing a bass guitar , and one who is smiling .')
without	Salient absence	('without', 'a man without a shirt is sitting in a black chair on a crowded sidewalk .')
not	Other	('not', 'a woman in her early fifties walks by herself in the subway , another woman is not far behind .')
nothing	Salient absence	('nothing', 'a child in almost nothing but blue flip-flops is taking a walk .')
not	Other	('not', 'a lady thinking that she should not have bought such a hideous purse .')
not	Outside the frame	('not', 'several people sitting in front of a building taking pictures of a landmark not seen .')
no	Quotes and idioms	('no', 'a little girl in a walker that looks like she may be up to no good .')
not	False positive	('not', 'a male guitar player is vigorously singing a not to a song in a poorly lit room .')
not	Negation of action/behavior	('not', 'a man drinking coffee does not notice a cat behind him .')
not	Negation of property	"('not', ""an asian toddler eyes an alcoholic beverage he 's not old enough for ."")"
n't	Quotes and idioms	"(""n't"", ""why , if it is n't bilbo baggins , playing the accordion ."")"
no	Salient absence	('no', 'an asian man with no shirt on is cleaning .')
no	Quotes and idioms	"('no', 'a young person in a hat is coming through an entrance labeled "" no fumar "" ( no smoking ) .')"
miss	Negation of action/behavior	('miss', 'men playing volleyball , with one player missing the ball but hands still in the air .')
no	Not a description/Meta	"('no', ""four buddhist monks walk down a street ... and no , this is n't the beginning of a joke ."")"
no	Salient absence	('no', 'man singing into a microphone with no shirt on is next to a woman playing an accordion .')
no	Salient absence	('no', 'a person with hat , long shirt , and jeans is standing in a stand of trees with no underbrush , bent over and examining the base of a tree , while a footpath crosses the bottom of the image .')
miss	False positive	('miss', 'an asian woman in a misspelled t-shirt fans herself in the mid-afternoon sun while waiting for a bus in the city .')
n't	Not a description/Meta	"(""n't"", ""why are n't these girls in the kitchen instead of playing with toys ?"")"
no	Salient absence	('no', 'man with no shirt on in a field .')
not	Other	('not', 'a bicycle rider flies over a hill while a competitor is not far behind .')
n't	Other	"(""n't"", ""an elderly gentleman displays that he still has n't lost his knowledge of how to operate , with just a couple of horses and an old plow , free of automation ."")"
n't	Not a description/Meta	"(""n't"", ""people on a highway celebrating ( i honestly do n't know )"")"
no	Salient absence	('no', 'a woman , with no shoes on , is getting into the backseat of a car .')
no	Salient absence	('no', 'a little girl in cuffed jeans , a long-sleeve pink shirt and no shoes is sleeping on the sofa .')
not	Not a description/Meta	('not', 'karate is not for the light-hearted !')
no	Quotes and idioms	"('no', 'protesters with "" no new coal "" signs in urban area .')"
no	Salient absence	('no', 'a man with no shirt on and holding a blue container is getting soaked .')
n't	Not a description/Meta	"(""n't"", ""i do n't see a picture i do n't see a picture i do n't see a picture i do n't see a picture"")"
no	Quotes and idioms	('no', 'a man is walking by a pole with a no pets sign .')
no	Salient absence	('no', 'a woman with dark hair and a white shirt sitting at a table holding a young child with shorts and no shirt .')
not	Negation of action/behavior	('not', 'three smiling people and two others not facing the camera standing outside of a shack at night .')
no	Salient absence	('no', 'a man in a beige shirt and a black helmet drives a small red vehicle with a cloth black roof and no doors or windows .')
not	Negation of action/behavior	('not', 'a group of adults holding musical instruments , they do not appear to be playing the instruments .')
without	Salient absence	('without', 'a man without safety equipment rides a snowboard across an elevated , curved surface')
no	Salient absence	('no', 'a guy with no shoes trying to get on his bike .')
n't	Salient absence	"(""n't"", ""a woman playing an electric guitar that does n't have any strings ."")"
no	Salient absence	('no', 'people are hiking up a mountain with no greenery .')
no	Salient absence	('no', 'a man with no shirt on is tying a yellow transparent bag closed .')
lack	False positive	('lack', 'a lack dog leaps in front of a tree branch in the snow .')
not	Outside the frame	('not', 'not appearing within my field of vision .')
no	Salient absence	('no', 'an asian man with no shoes and wearing a white t-shirt carrying wood in baskets .')
no	Salient absence	('no', 'a man with no shirt and a cigarette ties up a green garbage bag .')
n't	Outside the frame	"(""n't"", ""a man is setting up a camera to take shots of something that ca n't be seen near a zchtv wall ."")"
no	Salient absence	('no', 'a man wearing shorts but no shirt works on a sand sculpture at the beach while two people buried in the sand watch underneath a blue umbrella .')
no	Salient absence	('no', 'a girl wearing a red tank top and denim shorts with no shoes is walking in a parking lot towards a group of stores .')
none	Negation of action/behavior	('none', 'four construction workers stand on a beach-side road in the process of being rebuilt ; none of them are working .')
miss	Salient absence	('miss', 'a man in a blue and black jersey and missing one foot hits a volleyball from a sitting position .')
fail	Negation of action/behavior	('fail', 'two girls play softball , one slides into plate as other fails to catch ball .')
without	Salient absence	('without', 'a man climber a large rock without any gear while his friends watch')
no	Salient absence	('no', 'a man with a beard and no shirt on has his bicycle upside down and is repairing it .')
no	Salient absence	('no', 'the colorful streets of a southeast asian city are lined with a few pedestrians , a few cyclists , but no automobiles .')
n't	Other	"(""n't"", ""a woman looks to have jumped on top of somebody holding a beer , the bar does n't seem too far behind ."")"
without	Salient absence	('without', 'a guy without a shirt sleeping in front of a window .')
not	Other	('not', 'the bulls wins , but not before it is stopped in its tracks .')
without	Salient absence	('without', 'a boy without a shirt on is jumping in the air almost upside down .')
no	Salient absence	('no', 'a man with no shirt is wearing gloves and holding a mask .')
not	Other	('not', 'a man sits alone in front of a building , hanging his head so low it appears to not exist .')
no	Other	('no', 'two little girls with no facial expressions stand close to each other in a city .')
no	Salient absence	('no', 'a skinny young man running with no shirt on')
no	Quotes and idioms	('no', 'an older woman in a green shirt leaning against a white concrete block wall that has a sign on it that says no estacione .')
no	Salient absence	('no', 'no protection football guy getting tackled')
no	Quotes and idioms	"('no', 'a young asian woman walks past a blue wall that says "" post no bills . ""')"
miss	Salient absence	('miss', 'this person is laying on the floor at the bottom of the stairs and is missing a shoe .')
miss	False positive	('miss', 'two coast guard officers out on a training mission .')
no	Other	('no', 'a man with a bowtie looks at the camera with no expression .')
not	Outside the frame	('not', 'a band plays outdoors playing guitars and drums , the singer wears sunglasses and a black shirt and bandanna with a goatee , the other man wears a fedora and purple shirt , the other players are not pictured .')
without	Salient absence	('without', 'two girls are standing in shallow water without shoes .')
miss	Salient absence	('miss', 'blond girl with missing front tooth , in pool .')
no	Salient absence	('no', 'three young men on a boat with no life jackets .')
no	Salient absence	('no', 'a boy with no shirt is standing in water .')
no	Salient absence	('no', 'a man with no shirt on and blue jeans .')
neither	Other	('neither', 'two guys are in he air with neither foot touching the ground .')
n't	Other	"(""n't"", ""a little toddler trying to look through a scope but ca n't reach it ."")"
no	Salient absence	('no', 'a boy wearing no shirt and some blue jeans is jumping in the air in the woods .')
no	Salient absence	('no', 'a man with no shirt and purple pants crouches while tampering with a metallic object .')
without	Salient absence	('without', 'two toddlers , one topless , one without pants , standing on a floor with water sprinklers .')
nothing	Not a description/Meta	('nothing', 'unexisting upon a field of nothing .')
miss	Salient absence	('miss', 'women swinging very high with a missing shoe .')
without	Salient absence	('without', 'musician playing guitar without the drummer .')
no	Salient absence	('no', 'a little asian girl standing in the mud with no shoes and holding a red umbrella .')
no	Quotes and idioms	"('no', ""a professional tennis player returns a shot with a back hand from no man 's land ."")"
no	Salient absence	('no', 'a woman walking through a parking lot with no shoes on .')
no	Salient absence	('no', 'two children running with no shoes on .')
miss	False positive	('miss', 'a man smokes next to a pillar with a sign for a missing woman taped to it .')
without	Salient absence	('without', 'a man without a shirt wearing black jogging shorts and a woman in a black t-shirt and red shorts jog together through a park .')
miss	Salient absence	('miss', 'a young girl with a missing shoe is held by a woman in white pants with a black top .')
no	Salient absence	('no', 'an older gentleman in a coat is carrying a walking cane , garbage bag and end table with no top .')
not	Other	('not', 'this dude is asian , and works on computers all the time , not stereotyping .')
no	Salient absence	('no', 'barefoot men wearing black masks and no shirts are walking in a procession .')
no	Salient absence	('no', 'the man with no shirt and flip-flops looks at the women in white shorts .')
without	Salient absence	('without', 'two little kids without shirts are sitting down facing each other .')
without	Salient absence	('without', 'a man is riding the bike without wearing his helmet .')
no	Salient absence	('no', 'this is a harsh city scene with no grass or greenery , tall buildings that bring too much shade and a feeling of decrepitness .')
not	Other	('not', 'a woman in a yellow shirts walks through a park with her dog not far behind .')
without	Salient absence	('without', 'a man is shoveling snow without a hat or gloves .')
no	Salient absence	('no', 'a man with no shirt speed skateboards downhill .')
no	Negation of property	('no', 'the bagel shop is no longer in business .')
without	Salient absence	('without', 'a man without a shirt is standing next to a motorcycle , on a coast shore .')
no	Salient absence	('no', 'man with no shirt and woman wearing all black are running in the sand .')
no	Salient absence	('no', 'there is a man in a kilt with tattoos and no shirt walking down the street carrying his skateboard .')
without	Salient absence	('without', 'man walking around without a shirt , carrying the newspaper .')
not	Negation of property	('not', 'a toddler sucks his finger while he sits in a stroller ; the stroller is indoors and the safety harness is not fastened .')
not	Salient absence	('not', 'a man not wearing a shirt dancing by himself with his eyes closed .')
no	Salient absence	('no', 'a man with no shirt and wearing sunglasses is holding a football .')
no	Salient absence	('no', 'one individual with no shoes creating pottery in the sun while sitting on the ground .')
no	Salient absence	('no', 'skinny man with no shoes on eating barbecue ribs outside .')
without	Salient absence	('without', 'young people on skateboards and one without a shirt jumping in the air .')
never	Quotes and idioms	"('never', 'a man on a cellphone walking past four signs that all say "" never sleep again ""')"
no	Salient absence	('no', 'a bearded man wearing no t-shirt fixes his bicycle .')
no	Salient absence	('no', 'a man with no shirt on , holding a cup , watches a woman wearing a yellow bikini top in a crowd .')
no	Quotes and idioms	"('no', 'a young boy jumping into a pool that says "" no diving "" .')"
without	Salient absence	('without', 'man without shirt standing on top of a drum that people are holding in the air .')
n't	Other	"(""n't"", ""people try to make a point about how big companies do n't care about people and only car about money ."")"
no	Salient absence	('no', 'two men with no shirts on a balcony pointing and looking up .')
miss	False positive	('miss', 'two bums are sitting on a sidewalk outside a peace mission in portland oregon .')
without	Salient absence	('without', 'a man without a shirt performs rollerblading tricks on a course .')
no	Salient absence	('no', 'a barefooted man with no shirt on is playing a guitar .')
no	Quotes and idioms	('no', 'two skateboarders walking down a street filled with no parking sings .')
not	Other	('not', 'a small dog leaping , but not very high .')
without	Salient absence	('without', 'an african american man is running near the water without a shirt .')
no	Salient absence	('no', 'a man with no shirt works on a conveyor belt .')
n't	Not a description/Meta	"(""n't"", ""i do n't see a picture i do n't see a picture i do n't see a picture"")"
without	Salient absence	('without', 'a skateboarder without a shirt grabs his board in the air .')
n't	Negation of attitude	"(""n't"", ""tourist wife upset with husband who ca n't makeup his mind ."")"
not	Negation of action/behavior	('not', 'a bunch of kids in a classroom not doing any work .')
no	Salient absence	('no', 'a woman with no shirt rides a bike .')
without	Salient absence	('without', 'a guy without a shirt on climbing up the side of a rock .')
miss	Quotes and idioms	('miss', 'man smoking a cigarette in a subway station near a missing poster .')
n't	Other	"(""n't"", ""this man is fishing around a bunch of boats , he has n't caught one , yet ."")"
not	Negation of attitude	('not', 'a lady is not too amused at this guy trying to get her attention .')
never	Quotes and idioms	"('never', 'a man , talking on a cellphone , passes a brick building , with a sign on it , repeating , "" never sleep again . ""')"
n't	Salient absence	"(""n't"", ""two boys and two girls walk away from the camera , down a trail on the side of a hill wearing backpacks and jackets , though one girl does n't have a backpack on her back ."")"
no	Salient absence	('no', 'a man walks down the road leading a cow with no rider and another cow with a rider .')
no	Negation of action/behavior	('no', 'a young boy at a skate park is flying high on his bike while using no hands !')
n't	Negation of action/behavior	"(""n't"", ""one young girl about six years old , with blond-hair wearing a lime green jacket , blue pants , and red rain boots , is tapping her foot in the lake and she does n't even see the canoe in the distance by the trees without leaves ."")"
without	Salient absence	('without', 'two men , one without a shirt , are looking at bags of fish hanging from a rack .')
without	Salient absence	('without', 'girl scaling rock wall without ropes .')
without	Salient absence	('without', 'a young girl with blue and pink ribbons in her braids , without a top and a woman with a white t-shirt and a zebra skirt wading in a public water fountain .')
no	Salient absence	('no', 'a person , wearing no shirt , is sitting in a white chair staring over a ledge .')
not	Other	('not', 'i see people going into a yellow bus from another country , not united states .')
no	Salient absence	('no', 'people can be seen walking down a quaint city street , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .')
nothing	Salient absence	('nothing', 'two very friends lost in the middle of the desert with nothing but a portable black mattress and a book with maps .')
not	Outside the frame	('not', 'inside a vehicle , a blond woman with a single-lens reflex ( slr ) camera is gesturing at someone ( not visible ) behind her seat .')
n't	Not a description/Meta	"(""n't"", ""this dog does n't seem to appreciate how awesome his hat is ."")"
not	Salient absence	('not', 'one older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle .')
no	Salient absence	('no', 'a woman wearing socks with no shoes is standing at the open back door of her car .')
miss	Salient absence	('miss', 'a chef standing behind a large pan of pepperoni pizza with one-fourths of the pizza missing .')
no	Salient absence	('no', 'a man wearing no shoes and has his shirt unbuttoned is laying down in front of a doorway that is looking outside .')
no	Quotes and idioms	('no', 'us troops keeping calm in a no fly zone at one of the crucial points in tripoli , libya .')
without	Salient absence	('without', 'a man in a yellow shirt and a man in a plaid shirt walk past a man without a shirt who is holding a cup .')
n't	Outside the frame	"(""n't"", ""there is a little blond boy with a brown jacket with an orange strip on top a man , but you ca n't see the man 's body just his head ."")"
without	Salient absence	('without', 'guy without a shirt in black pants doing stunts on his skateboard .')
without	Negation of attitude	('without', 'the young child sits on the swing without a thought in his mind .')
n't	Negation of attitude	"(""n't"", ""the dog in the picture does n't like blowing dryer ."")"
no	Quotes and idioms	"('no', 'a man is standing in the doorway of a building containing a garage door painted with "" no parking . ""')"
not	Other	('not', 'a lacrosse player is looking at an object in the sky that is not the ball .')
n't	Negation of action/behavior	"(""n't"", ""a young asian child stands at the top of some steps and does n't seem to notice the person taking their picture ."")"
without	Salient absence	('without', 'a young boy plays in the snow without a shirt on .')
not	Negation of attitude	('not', 'a middle-aged man with a backpack playfully pretends to box with younger child who does not look phased .')
not	Not a description/Meta	('not', 'my two friends were working on our roof today and they just did not know where to start .')
not	Negation of attitude	('not', 'a baby in a polka dot bib is not happy eating his soup .')
no	Salient absence	('no', 'a woman with no bra on and half naked posing next to a blue car .')
miss	Salient absence	('miss', 'a small female child , missing her front teeth , wearing pink shawl , blue jumper dress , her dark hair in two ponytails , smiling , making craft products with an older female who wears a white baseball cap , pink shirt and white jacket , inside a school gymnasium .')
n't	(Preventing) future events	"(""n't"", ""a groom holding up his bride 's train to ensure that it does n't get wet on a rainy day ."")"
no	Salient absence	('no', 'a man is on stage with no shirt on grabbing a pool at what looks like a tv sporting event .')
no	Quotes and idioms	"('no', 'a girl with a tattoo on her wrist that reads "" no regrets "" has her hand outstretched .')"
miss	Negation of action/behavior	('miss', 'a softball player swinging at a softball and missing it .')
not	Other	('not', 'five young people smiling for picture and one child not facing front')
no	Quotes and idioms	"('no', 'woman in white t-shirt walks past blue wall that says "" post no bills . ""')"
miss	False positive	('miss', 'families trying to check on the board for the names of their loved ones who went missing after an earthquake .')
nothing	Not a description/Meta	"('nothing', ""there 's nothing like a hot day at the races and smelling the rubber burn"")"
no	Salient absence	('no', 'a man with no shoes sits on a bicycle rack next to a pile of trash .')
no	Salient absence	('no', 'a soccer player with no shirt standing in the middle of the field .')
not	Negation of action/behavior	('not', 'a pole vaulter in a blue and red uniform has just gone over the bar but has not yet let go of the pole .')
miss	Negation of action/behavior	('miss', 'a cowboy is on the ground in a rodeo ring , holding onto his horse by a rope , just missing a calf .')
miss	Negation of action/behavior	('miss', 'a brown dog is trying to catch a flying disk but missed it .')
no	Salient absence	('no', 'a man with no shirt on is performing with a baton .')
without	Salient absence	('without', 'one man without a shirt and a man with a hat steering are in a small boat .')
without	Salient absence	('without', 'a man without a shirt is working on the roof of a house .')
no	Quotes and idioms	('no', 'many people taking pictures of the mountains in front of a no truck sign')
not	Salient absence	('not', 'men are covered in some red color , not wearing a top and playing checkers .')
no	Salient absence	('no', 'a young man climbing on a rock with no shirt on')
no	Salient absence	('no', 'a little boy in black shorts and no shirt is holding on to handles as he flies down a rope .')
no	Salient absence	('no', 'four dark-skinned men with no shirts are working in a field with a cart and several cows .')
not	Other	('not', 'new sport is being played to show appreciation to the kids who can not walk .')
without	Salient absence	('without', 'a kid without a shirt uses an innertube for shade .')
without	Salient absence	('without', 'a man on a motorcycle without a shirt and another man standing under shade .')
not	Salient absence	('not', 'a little baby on a tricycle seems to not be wearing any clothes .')
without	Salient absence	('without', 'two men , one with a hat and one without , holds up bottles and a beaker while a woman stands beside them with a wineglass filled with a peach liquid .')
not	Salient absence	('not', 'a man with a cap and not wearing shirt is laying a wooden bench .')
no	Salient absence	('no', 'a guy standing outside with no shirt on looking up at the building .')
no	Salient absence	('no', 'a guy with no shirt on is skateboarding .')
without	Salient absence	('without', 'a man is welding without the proper safety equipment on .')
not	Salient absence	('not', 'a quartet of young people , possibly spanish or portuguese , wearing red bandannas , while one conspicuously does not , stroll down a boulevard .')
no	Quotes and idioms	"('no', 'a woman is riding a bicycle in her underwear with "" no oil "" painted on her chest .')"
no	Salient absence	('no', 'a man with no shirt and tattoos on his shoulder is walking near a truck .')
no	Negation of action/behavior	('no', 'a young man flies through the air in a no hands stunt on a bike .')
miss	False positive	('miss', 'a mormon missionary walks his bicycle past a metro sign .')
without	Salient absence	('without', 'a man without a shirt plays drums .')
no	Salient absence	('no', 'a man in a blue ball cap and wearing no shirt working on a roof .')
not	Negation of action/behavior	('not', 'a man shaves his neck but not his beard .')
no	Negation of action/behavior	('no', 'a street scene perhaps at an event or rally of some kind , heavyset man in the foreground , no one is really facing the camera .')
no	Salient absence	('no', 'two young men stand outside a home in the middle of winter with no coats on and wait to be let in .')
not	Other	('not', 'the train is sitting at the train station with not too many passengers around .')
no	Salient absence	('no', 'acrobatic entertainers with no shirts perform for spectators .')
without	Salient absence	"('without', ""police officer on a sheriff 's department motorcycle poses in front of a male service member of a color guard with a blurry festive background that includes another motorcycle with 2 civilians without helmets wearing jeans ."")"
no	Salient absence	('no', 'a man meditating on a tall building with no shoes on')
no	Salient absence	('no', 'three boys with no shirts on are sitting on cement steps by the water .')
not	Negation of property	('not', 'a young girl with a scarf on her head , not yet in her mid teens , gazing at something that may have caught her interest .')
no	Quotes and idioms	('no', 'three young boys playing hear no evil , speak no evil , see no evil')
neither	Negation of action/behavior	('neither', 'a man and woman pose for a picture together , with neither smiling .')
not	Other	('not', 'the little boy in the blue t-shirt is smiling under the blue umbrella even though it is not raining .')
without	Salient absence	('without', 'a bike is flying in the air without a rider on a half pipe .')
not	Negation of action/behavior	('not', 'a child soccer player jumps for the ball to prevent it from going into the net but , does not successfully accomplish his goal .')
without	Salient absence	('without', 'a man without a shirt poses with his arms spread next to a woman .')
nothing	Salient absence	('nothing', 'an adult surrounded with nothing but sand leaping into the air .')
not	Negation of action/behavior	('not', 'a man and a woman wearing coats are facing standing outside facing each other , but not looking at each other .')
not	Salient absence	('not', 'skateboarder not wearing a shirt does a cool trick .')
not	Negation of action/behavior	('not', 'a goalie on a hockey team with the colors of blue , white and yellow , ice skated pass the goal and did not manage to block the puck from the opposing team from going into his goal .')
no	Salient absence	('no', 'a man with no shirt standing on a scaffolding .')
not	Not a description/Meta	('not', 'there is not an image here .')
no	Negation of attitude	('no', 'a brown dog pays no attention to a young woman dressed in black passing nearby .')
not	Negation of action/behavior	('not', 'three women with headscarfs holding packages , two smiling , one not .')
without	Salient absence	('without', 'a man without a shirt on is doing work on the side of a building .')
not	Outside the frame	('not', 'a woman is taking a picture of something not in the shot with her phone .')
no	Salient absence	('no', 'a man with long , blond-hair and no shirt , walk behind a black truck .')
no	Salient absence	('no', 'kids are playing on a swing set as a man with no shirt on walks by .')
never	Quotes and idioms	"('never', 'a man talking on a cellphone passes by a billboard stating , "" never sleep again . ""')"
not	Other	('not', 'a boy is sitting on a small boat with two flags flying from it not far from the coast with some trees in the background .')
miss	False positive	('miss', 'boys having some great moments with a missionary in the city of kinshasa , democratic republic of congo .')
not	Negation of action/behavior	('not', 'a young caucasian boy with a rock star shirt being camera shy trying to not look at the camera .')
no	Salient absence	('no', 'a male with no hair is exercising with waits in a gym .')
not	Other	('not', 'a man in a blue shirt rides a skateboard along a railing not far from a brick wall .')
no	Salient absence	('no', 'a busy street of people and two men are wearing no shirts .')
without	Salient absence	('without', 'an old guitar player without a shirt on is pointing , sweating .')
miss	False positive	('miss', 'a man in a down jacket leans against a pillar with a missing persons sign while smoking a cigarette .')
not	Other	('not', 'one boy running while carrying a football with four other boys not far behind in a game of flag football .')
n't	(Preventing) future events	"(""n't"", ""a girl tries holding onto a vine so she so n't fall into the water ."")"
no	Salient absence	('no', 'a woman wearing a red and pink garment is making pottery out of clay on the ground with no shoes on .')
no	Salient absence	('no', 'a man wearing a cowboy hat and no shirt has his back turned and is being embraced by two women who are both smiling .')
without	Salient absence	('without', 'three chefs in a kitchen , the left most chef is flipping something in a frying pan , the middle chef is the only one without a hat , his hands are blurred from movement , the right most chef is wearing glasses and arranging food artfully on a plate .')
no	Salient absence	('no', 'two guys , with no shirts on are throwing punches while in a cage .')
not	Negation of attitude	"('not', ""an older man is loving on a little boy , but the little 's face does not make it look like he is loving it ."")"
without	Salient absence	('without', 'a man wearing a vertical striped shirt and blue jeans naps without his shows on a brown couch covered with a red velveteen throw blanket .')
without	Negation of action/behavior	('without', 'man serving another man a beer without using a cup .')
without	Salient absence	('without', 'two children without shirts on sit at the edge of a fountain .')
no	Salient absence	('no', 'a man with a black baseball cap , blue shorts , gloves and no shirt is standing atop a roof .')
miss	False positive	('miss', 'a group of 6 men are attempting to pick up or move a heavy missile looking object that is supported by a chicken foot .')
never	Other	('never', 'individual trying a task never done before but watching his image in the water below him .')
without	Salient absence	('without', 'four men in cargo shorts without shirts on are standing on metal scaffolding .')
no	Salient absence	('no', 'sculptor applying concrete to large statue of human figure standing with no head .')
n't	Not a description/Meta	"(""n't"", ""four buddhist monks walk down a street ... and no , this is n't the beginning of a joke ."")"
no	Salient absence	('no', 'young man with no shirt skateboarding off a ramp outdoors .')
no	Salient absence	('no', 'two young boys wearing shorts , no shirt , and blue crocs , standing on a rock posing for a photo with an open field and trees in the background .')
n't	Salient absence	"(""n't"", ""there are two men , one wearing a shirt , one is n't , both wearing red pants and holding onto a ladder with both arms and their legs extended out into the air ."")"
miss	Salient absence	('miss', 'a child who is missing one shoe is sitting on a red cushion .')
not	Other	('not', 'a man at the rodeo is riding his horse while upside down and not on the saddle')
no	Salient absence	('no', 'a man wearing white shorts and no shirt is performing tricks on his bike in a skate park .')
without	Salient absence	('without', 'a child wearing blue tee-shirt playing with an orange pinata without a blindfold .')
no	Salient absence	('no', 'a man climbs up a cliff face with no safety equipment .')
without	Salient absence	('without', 'a man without a shirt works on a roof .')
no	Quotes and idioms	"('no', 'a group of people standing next to a "" no truck \'s "" sign and a yellow street sign .')"
no	Salient absence	"('no', ""a man with a hat but no shirt attaches something to a building 's roof ."")"
miss	False positive	('miss', 'a soldier training a german shepherd for a mission .')
without	Salient absence	('without', 'the man without a shirt is sitting on a rock by a tree .')
no	Salient absence	('no', 'a man in yellow pants and wearing no shirt is being watched by many people .')
no	Salient absence	('no', 'a man with no shoes on is watching the sunset over a town .')
not	Negation of attitude	('not', 'during the election party not all the guest attending are happy .')
not	Other	('not', 'a young asian girl is wearing a pink dress and holding an umbrella even though it is not raining .')
no	Salient absence	('no', 'a man wearing a floral shirt and tie is holding drumsticks , as a man with no shirt and gray pants is smiling and holding another drumstick .')
nothing	Not a description/Meta	"('nothing', 'something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the "" tips "" of his fans .')"
no	Salient absence	('no', 'a man in a hot spring tub smiling with no shirt .')
no	Salient absence	('no', 'a man wearing khaki pants and no shirt is shaving his face near a boxcar .')
no	Salient absence	('no', 'a man with no shirt on is washing his shirt in the fountain in the middle of a park .')
without	Salient absence	('without', 'three boys without shirts sit on concrete steps next to water .')
not	Salient absence	('not', 'a man , not wearing a shirt , is sitting on a rock and looking through a makeshift telescope .')
not	Negation of attitude	('not', 'older man working in a factory not looking too excited about the photograph .')
no	Negation of attitude	('no', 'an elderly looking man in europe is standing on top of a garbage can near the crosswalk as passersby take no notice .')
without	Salient absence	('without', 'two men without shirts are washing a roof .')
not	Not a description/Meta	('not', 'my date is not coming on time .')
without	Salient absence	('without', 'a woman at graduation without a cap on .')
without	Other	('without', 'a waiter waiting for a bus to take her home after long day without getting enough customers at the restaurant .')
nothing	Salient absence	('nothing', 'a man wearing bright orange construction vest washing down a train with nothing but a long handled scrubber and a wash bucket')
no	Salient absence	('no', 'the climber is hanging off a vertical cliff with gear but no shirt .')
no	Salient absence	('no', 'two caucasian males , one wearing a denim baseball cap and purple shirt , second guy with no baseball cap , wearing safety goggles , straddling a wood pallet .')
n't	(Preventing) future events	"(""n't"", ""a lady is playing jenga , hoping the tower does n't fall ."")"
no	Salient absence	('no', 'a young woman with long hair and no helmet is riding a skateboard in a park with a mural behind her .')
without	Salient absence	('without', 'two men are riding on a subway while reading books without wearing any pants .')
no	Salient absence	('no', 'two boys wearing black shorts and no shirts kicking a ball over a net .')
not	Negation of attitude	('not', 'two people looking at each other , a third person is not attentive .')
without	Not a description/Meta	"('without', ""what 's a trip to the park without visiting the snack bar ?"")"
no	Quotes and idioms	('no', 'a woman with a red no sleeve shirt with black shorts is running .')
no	Salient absence	('no', 'male artist with no shirt and a tattoo on stage at an even with a microphone with a purple backdrop and stage lights above him .')
not	Other	('not', 'a man and a woman sit on a bus , but not together .')
miss	Negation of action/behavior	('miss', 'man with number eleven uniform making a dive and missing the ball during a baseball game .')
no	Salient absence	('no', 'a man with no shirt above a dumpster .')
no	Negation of action/behavior	('no', 'a girl on a bicycle doing a jump in the air with no hands .')
n't	Not a description/Meta	"(""n't"", ""what is this i do n't even ."")"
without	Salient absence	('without', 'a hawaiian man without a shirt on and wearing a pink flower in his hair and a green wrap playing an instrument .')
no	Salient absence	('no', 'a man wearing no shirt is sitting outside a barn on a rock')
miss	Salient absence	('miss', 'a smiling , middle-aged hispanic or indian woman with braided hair , missing teeth and a round red cap and red shawl is standing outside by some buildings on a sunny day .')
no	Salient absence	('no', 'a large man with no shirt on standing next to a motorcycle .')
no	Salient absence	('no', 'a small boy , wearing shorts and no shirt , is running outdoors .')
not	Negation of property	('not', 'a man pulls a yellow hose , there is a shadow in the background that is clearly not his own .')
no	Salient absence	('no', 'a baby is lifted into the air by a man wearing no shirt .')
without	Salient absence	('without', 'a man wearing red pants without a top is holding on to a ladder .')
no	Salient absence	('no', 'a shirtless man with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup .')
fail	Negation of action/behavior	('fail', 'two men trying to give directions and failing completely , confusing their victim in the process .')
miss	Negation of action/behavior	('miss', 'a cricket player misses the pitch .')
not	Outside the frame	('not', 'three boys on a basketball court , wearing team uniforms , are attempting to reach a basketball which is not photographed but appears to be descending just out of their reach .')
without	Salient absence	('without', 'people viewing a sculpture with a man without a face , but with a suit , tie , glasses and a hat holding a multi color umbrella')
